"tilda_uid";"tilda_external_id";"tilda_sku";"tilda_title";"row_kind";"parent_tilda_uid";"variant_label";"erp_item_code";"mapping_status";"audit_source";"source_seen_at";"confirmed_at"
"293785910061";"9zDEJiVoarYNOAOVs5Fo";"111040";"Shelly 1";"parent";;"";"18230";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"872381119641";"tNmS8TVYaeN7aza71DCy";"111046";"Shelly 1PM";"parent";;"";"18228";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"184564008661";"rNtXF5N0G3SgDF9yySYA";"111051";"Shelly 2.5";"parent";;"";"18256";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"714996847531";"tABNzNcziSpPsGrBPk2e";"111090";"Shelly Dimmer 2";"parent";;"";"18236";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"780639449141";"MadX72Nm0ljPRKPrsrEZ";"110973";"Shelly EM";"parent";;"";"18126";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"621292266711";"jkHkEVBHmoz25jgalFhs";"111031";"Shelly Flood";"parent";;"";"18180";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"985430263821";"G63EsfgXGY2rOYsmRYkT";"111012";"Shelly Door/Window2";"parent";;"";"18224";"confirmed";"erp:b24_model_identity";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"504474706611";"ojf9YzpfJlkZ8dlul28k";"111119";"Shelly Bypass";"parent";;"";"18114";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"893837577091";"dTt4HUGoubnAy2GG4YLY";"111069";"Shelly Pro 1PM";"parent";;"";"18260";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"709252895501";"3tnAMBkpiIPE1kUTiXnA";"111077";"Shelly Pro 4PM";"parent";;"";"18240";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"484958719791";"P4an7mt1z9JSpU088yM7";"111092";"Shelly Plus i4";"parent";;"";"18258";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"725284537721";"OThPbFA6XtdILjcPZvxc";"111061";"Shelly Plus 1";"parent";;"";"18324";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"819120400791";"34uVVGeT30GIGymZ6zef";"111064";"Shelly Plus 1PM";"parent";;"";"18322";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"295835214961";"i3bRXkY9VaKbdPS2YOUU";"111066";"Shelly Plus 2PM";"parent";;"";"18320";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"715179471491";"2pXBZVOSi9ciKvE8Eu3I";"111018";"Shelly Motion2";"parent";;"";"18214";"confirmed";"erp:b24_model_identity";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"149026224451";"mgUyJA5TP8krxsJ0Fkvr";"110978";"Shelly Plus Plug S";"parent";;"";"18170";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"951761703881";"FX1aPpXJupGJ6ItZ7UGl";"111150";"Shelly RC snubber";"parent";;"";;"ignored";"manual_review:missing_in_erp";"2026-08-20 11:04:00.000000";""
"243784882751";"UvIYa0Za5pVL5oFi2bND";"111345";"Shelly Plus Uni";"parent";;"";"18196";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"816453464791";"claPTGyyRyoxiMBtpcIF";"111085";"Shelly Qubino Wave 1";"parent";;"";"18254";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"470344031361";"Xt6IHIPVd7F8ZnSeUxK0";"111086";"Shelly Qubino Wave 1PM";"parent";;"";"18262";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"705141098761";"C4JIfNHmookvAZ8yriu4";"111087";"Shelly Qubino Wave 2PM";"parent";;"";"18252";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"952606015041";"a6myrhPILCjKM8686mtB";"111073";"Shelly Pro 3EM Switch Add-on";"parent";;"";"18280";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"397931083011";"RzsJTnEYfVse7jFv05Ah";"111082";"Shelly PRO EM - 50";"parent";;"";"18268";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"622814302842";"5y2CGVvPPkdzYMRGjhoa";"111094";"Shelly Plus RGBW PM";"parent";;"";"18266";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"605348242612";"74V1uparOxN2Gz5lm951";"111030";"Shelly BLU TRV + BLU Gateway GEN3";"parent";;"";"18188";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"335649659812";"xI6vvZ6VT19ZMXs0hmDL";"111120";"Shelly Shutter";"parent";;"";"18112";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"452071859212";"tKrPjtB2ValevRoprD4i";"111045";"Shelly 1L GEN3";"parent";;"";"18244";"confirmed";"erp:b24_model_exact";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
"697626197592";"SXGUb8gjzPl2DIMzFc7c";"111067";"Shelly Plus Dimmer 0-10V";"parent";;"";"18248";"confirmed";"manual_review:renamed_model";"2026-08-20 11:04:00.000000";"2026-08-21 13:38:53.246000"
